timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653695771889,29,法人证券账户开户,200,OK,开户相关 1-925,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,29,0,0
1653695771889,38,资金转账,200,OK,资金系统 2-922,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,38,0,0
1653695771927,12,获取交易信息,200,OK,资金系统 2-922,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,12,0,0
1653695771939,11,获取账户余额,200,OK,资金系统 2-922,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,11,0,0
1653695771964,25,个人开户,200,OK,开户相关 1-926,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,25,0,0
1653695771989,19,资金账户开户,200,OK,开户相关 1-926,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,19,0,0
1653695772009,14,法人证券账户开户,200,OK,开户相关 1-926,,true,,418,617,1,1,http://47.99.194.140:3001/security/corporateOpen,14,0,0
1653695772026,49,资金转账,200,OK,资金系统 2-923,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,49,0,0
1653695772075,14,获取交易信息,200,OK,资金系统 2-923,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,14,0,0
1653695772089,14,获取账户余额,200,OK,资金系统 2-923,,true,,383,229,1,2,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,14,0,0
1653695772098,31,个人开户,200,OK,开户相关 1-927,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,31,0,1
1653695772129,20,资金账户开户,200,OK,开户相关 1-927,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,20,0,0
1653695772149,20,法人证券账户开户,200,OK,开户相关 1-927,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,20,0,0
1653695772159,34,资金转账,200,OK,资金系统 2-924,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,34,0,1
1653695772193,13,获取交易信息,200,OK,资金系统 2-924,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,13,0,0
1653695772206,11,获取账户余额,200,OK,资金系统 2-924,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,11,0,0
1653695772232,140,个人开户,200,OK,开户相关 1-928,,true,,418,458,1,2,http://47.99.194.140:3001/security/personalOpen,140,0,1
1653695772372,20,资金账户开户,200,OK,开户相关 1-928,,true,,418,389,2,3,http://47.99.194.140:3001/capital/OpenAccount,20,0,0
1653695772294,103,资金转账,200,OK,资金系统 2-925,,true,,372,346,1,3,http://47.99.194.140:3001/capital/moneyin,103,0,0
1653695772375,35,个人开户,200,OK,开户相关 1-929,,true,,418,458,2,3,http://47.99.194.140:3001/security/personalOpen,35,0,0
1653695772398,14,获取交易信息,200,OK,资金系统 2-925,,true,,774,226,1,3,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,14,0,0
1653695772392,23,法人证券账户开户,200,OK,开户相关 1-928,,true,,418,617,2,3,http://47.99.194.140:3001/security/corporateOpen,23,0,0
1653695772412,14,获取账户余额,200,OK,资金系统 2-925,,true,,383,229,1,2,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,14,0,0
1653695772410,24,资金账户开户,200,OK,开户相关 1-929,,true,,418,389,1,2,http://47.99.194.140:3001/capital/OpenAccount,24,0,0
1653695772434,19,法人证券账户开户,200,OK,开户相关 1-929,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,19,0,0
1653695772432,38,资金转账,200,OK,资金系统 2-926,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,38,0,0
